trip_id,user_id,destination_airport,destination_airport_lat,destination_airport_lon
591433-eb6e969e613f41b0bae9f2feeedf4e11,591433,MDW,41.786,-87.752
524328-c187752680e74d03bbe01c23f6a9cbc5,524328,LAX,33.942,-118.408
544640-9f9a672886e14b628e0b1011fb83062f,544640,PHL,39.872,-75.241
563254-6397dc581c7c401da7524c8ba6387882,563254,LGA,40.64,-73.779
605878-947d36ed4a12455f8fe9bd98630b7bb6,605878,IND,39.717,-86.294
541176-b509ca43ef004202bcbfb5caa58c9b8c,541176,LOU,38.228,-85.664
559863-d9ad275822b34876be1b2c2a81e49e15,559863,LGA,40.64,-73.779
437539-e69dbdd47d734a57ab23a393f6cdf882,437539,LAX,33.942,-118.408
590967-9ddbcfa408724570a281cc8c8b54417c,590967,JFK,40.64,-73.779
603278-f9113c6e10f54ecc965de52c96a61698,603278,JFK,40.64,-73.779
536675-3c0c99acad6d418387c9ccddbf0bb0d0,536675,IAH,29.607,-95.159
569754-fbe5c00fa6eb41bdb5ee8a2bccb06a58,569754,YIP,42.409,-83.01
602598-528773b7fe7940f794683d3638a386bd,602598,BOS,42.364,-71.005
566861-dde171ddde6045a39cfb5821e41a0487,566861,LSQ,33.942,-118.408
513236-65cd89e147b44c56ae30cebff5bd0cb3,513236,LAX,33.942,-118.408
531386-17e0e09b7ed044bbb34d01e2c284c493,531386,MEM,35.042,-89.977
617994-e49350c80bd844979ae6b19968c84617,617994,YQB,46.788,-71.398
555193-bb0d201107054effb8a4c640a2536147,555193,FAT,36.776,-119.718
540244-78fb391f97a24dccb1bf026fa5930911,540244,ORD,41.786,-87.752
586850-b043baf25b0544d3961a706a51a5ce87,586850,YMX,45.517,-73.417
515639-915c83a25f7247e8a1add24157ec5d0f,515639,BFI,47.53,-122.302
554956-ab76761869124e8ba7928cadac5fee4c,554956,SJI,37.362,-121.929
529338-c5417e3c8e26466ea86878188c502f93,529338,LCK,39.998,-82.892
464673-ff6099ed371d47f9965b4bdbc1da598b,464673,PWM,45.589,-122.597
556127-ac95721645a24b51be3ed4f01b7fe6ee,556127,SKF,29.529,-98.279
570713-87be4e83aa484135b5dc599969d9590c,570713,FAT,36.776,-119.718
551023-f1f23953a682436c9fabe698368eb3b6,551023,AMS,52.309,4.764
512329-6900187cde294c9890cea4784d66110e,512329,LGA,40.64,-73.779
536622-965f755eb13b45e08fa956a958f94ffa,536622,DEN,39.858,-104.667
565070-558d91e8e0f948988dce69558731040d,565070,SJC,37.362,-121.929
517968-98f334d07c85457aa9387b65b3939d87,517968,AUS,30.194,-97.67
518722-ee2a421155fd414585f44e0e4b55cf89,518722,DMA,32.166,-110.883
550460-b3c3532a680b408eaf8ecaafb52d3ee2,550460,JFK,40.64,-73.779
590400-a16c27545e114b8f91b5c33bc919c316,590400,BWI,39.175,-76.668
543304-e708f9cd6ee6471c8a77850aac11320c,543304,SJO,37.362,-121.929
546064-d9789bc076ec44d289abe15d1077077c,546064,LGA,40.64,-73.779
