trip_id,origin_airport,destination,destination_airport,seats,return_flight_booked,departure_time,return_time,checked_bags,trip_airline,destination_airport_lat,destination_airport_lon,base_fare_usd,flight_distance_km
785107-de5d44027081481297469221ef8794ba,PDX,houston,EFD,1,TRUE,2023/5/9 9:00,2023/5/11 9:00,1,American Airlines,29.607,-95.159,524.73,2975.498711
281952-bd03b395742b4790bcd3656dd319a60f,LOU,calgary,YYC,1,TRUE,2023/7/19 7:00,2023/7/21 7:00,2,WestJet,51.114,-114.02,484.87,2635.607768
281952-e45eebaa33114910a96edc7e5f3b0a4f,LOU,new york,LGA,1,TRUE,2023/3/20 7:00,2023/3/22 7:00,1,Delta Air Lines,40.64,-73.779,199.85,1054.421034
354050-90fc029521134583943a6f4195473d56,DET,san jose,SJI,1,FALSE,2023/7/13 9:00,,0,Cebu Pacific,37.362,-121.929,292.13,3337.929389
354050-42e1b16b389d4333a95edc9c9f14b8ea,DET,memphis,MEM,1,TRUE,2023/3/4 8:00,2023/3/9 8:00,0,Delta Air Lines,35.042,-89.977,177.77,1017.186174
354050-717e9641bf1b4e5788bea8dc79bcf5ca,DET,jacksonville,NIP,1,TRUE,2023/5/19 15:00,2023/5/22 15:00,0,American Airlines,30.494,-81.688,234.8,1330.103182
354050-7c81b9f6200d4c8494c55e3c7fe4b15e,DET,austin,AUS,2,TRUE,2023/2/15 7:00,2023/2/19 7:00,0,AirTran Airways,30.194,-97.67,671.1,1884.207947
354050-e6c9a354f6b94221b9dc7b46435ad0ff,DET,fresno,FAT,1,TRUE,2023/4/4 9:00,2023/4/6 9:00,1,United Airlines,36.776,-119.718,582.08,3181.40078
354311-222c4fe944f8486a8e303c5519dca9fd,DMA,detroit,YIP,1,TRUE,2023/2/13 7:00,2023/2/14 7:00,0,American Airlines,42.409,-83.01,479.74,2699.742097
354311-bb69dc1af2e545fda9809848e0e2d793,DMA,new york,JFK,1,TRUE,2023/3/18 9:00,2023/3/22 9:00,1,American Airlines,40.64,-73.779,593.15,3423.872322
421870-733eedd28dfa4828802248b60a5c11b6,LIT,kuala lumpur,KUL,8,TRUE,2023/11/3 7:00,2023/11/22 7:00,8,Malaysia Airlines,2.746,101.71,21548.04,15601.27633
421870-a48585d8c3b44139813414affb5b0944,LIT,san jose,SJO,1,TRUE,2023/3/14 10:00,2023/3/17 10:00,0,LACSA,37.362,-121.929,438.55,2675.603002
421870-db19fc4f42ca47639c0c39ee364bc8a5,LIT,toronto,YZD,1,TRUE,2023/2/25 9:00,2023/3/1 9:00,0,United Airlines,43.862,-79.37,247.48,1498.3187
431912-1f5ebe696cc148c6a7d0234efd857a92,DET,new york,JFK,2,TRUE,2023/1/11 7:00,2023/1/13 7:00,1,Avianca - Aerovias Nacionales de Colombia,40.64,-73.779,295.89,792.7896327
437069-9704a82635b6411c9be1f6d75803ea19,DMA,washington,IAD,1,TRUE,2023/6/24 8:00,2023/7/1 8:00,2,United Airlines,38.852,-77.037,547.91,3133.267964
437069-d53e6ab4b6814d95adfef1266d75f2f8,DMA,san francisco,SFO,2,TRUE,2023/4/11 8:00,2023/4/14 8:00,1,American Airlines,37.619,-122.375,408.9,1209.536987
437069-b782357d43d24eba9313b3f6950519ab,DMA,houston,HOU,1,TRUE,2023/1/12 16:00,2023/1/15 16:00,0,Southwest Airlines,29.607,-95.159,250.97,1525.739204
437069-dc8187ba37a6485c98e4ae9b65928788,DMA,phoenix,PHX,1,TRUE,2023/3/26 16:00,2023/3/30 16:00,0,JetBlue Airways,33.535,-112.383,38.97,206.8913024
437069-03e3f62124754b64b4cb46fe0e18e762,DMA,baltimore,BWI,1,TRUE,2023/3/8 15:00,2023/3/17 15:00,0,American Airlines,39.175,-76.668,549.65,3167.209642
437251-3af1bba9ec424e48865b31d92caa962d,YXU,memphis,MEM,1,TRUE,2023/2/6 11:00,2023/2/8 11:00,0,Southwest Airlines,35.042,-89.977,231.25,1169.418187
437251-d41fd12022984305aeb06745ab885a1f,YXU,memphis,MEM,1,TRUE,2023/7/11 9:00,2023/7/13 9:00,1,Virgin Atlantic Airways,35.042,-89.977,229.9,1169.418187
437251-3f16b9a74bd24b8f9abcf18658326caa,YXU,san jose,SJI,1,TRUE,2023/3/11 16:00,2023/3/15 16:00,0,Cebu Pacific,37.362,-121.929,625.97,3484.897649
452594-60201099f3cd4e15a65b2726551baaae,LSV,fort worth,FTW,1,TRUE,2023/3/30 7:00,2023/4/6 7:00,1,Ryanair,32.82,-97.362,291.49,1660.27271
452594-0c226523eb14477fbc66fe73002861da,LSV,san jose,SJO,1,TRUE,2023/7/5 9:00,2023/7/11 9:00,0,Avianca - Aerovias Nacionales de Colombia,37.362,-121.929,113.51,626.4010776
452594-700a269b4a1646b3b014cd7bd1576f68,LSV,new york,LGA,1,TRUE,2023/1/22 7:00,2023/1/26 7:00,0,Delta Air Lines,40.64,-73.779,650.03,3593.228396
452612-2c346ef8ee074d12a1d97748038bc788,ROC,dallas,DAL,1,TRUE,2023/7/15 13:00,2023/7/21 13:00,2,Southwest Airlines,32.847,-96.852,341.65,2024.558225
452612-569e933c38de4ecf87a66bdd8556dce4,ROC,san diego,SAN,1,TRUE,2023/2/25 8:00,2023/3/1 8:00,1,Allegiant Air,32.699,-117.215,565.43,3619.253782
452612-569e933c38de4ecf87a66bdd8556dce4,ROC,san diego,SAN,1,TRUE,2023/2/25 8:00,2023/3/1 8:00,1,Allegiant Air,32.699,-117.215,565.43,3619.253782
508848-964bd43e71614f24aa1a7638621c2ffe,STL,new york,JFK,1,TRUE,2023/1/25 14:00,2023/1/30 14:00,1,Air France,40.64,-73.779,274.25,1431.994705
508848-985d744d510149709a6236f305ca4db3,STL,nashville,BNA,1,TRUE,2023/4/24 7:00,2023/5/2 7:00,1,American Airlines,36.124,-86.678,71.28,436.7537065
508857-c2fc8e3ee8ad4593a7d89a7887e2cd20,YOW,chicago,ORD,1,TRUE,2023/3/19 7:00,2023/3/23 7:00,0,Delta Air Lines,41.786,-87.752,171.98,1048.810891
508857-ea9465c70a3942aea420f70934986f7e,YOW,new york,LGA,1,TRUE,2023/5/1 8:00,2023/5/11 8:00,1,Delta Air Lines,40.64,-73.779,101.48,542.9041329
508857-46edfbaeb286475fa126313d7bc9d245,YOW,austin,AUS,1,TRUE,2023/3/9 7:00,2023/3/10 7:00,0,AirTran Airways,30.194,-97.67,487.97,2548.005699
508857-4e0a88e8c13040798b4f045578791c71,YOW,phoenix,LUF,2,TRUE,2023/1/29 7:00,2023/1/31 7:00,0,Ryanair,33.535,-112.383,1185.16,3378.607475
508857-e9e07fd3360e4274ac298665b4e00c35,YOW,edmonton,YXD,1,TRUE,2023/1/14 7:00,2023/1/19 7:00,1,American Airlines,53.667,-113.467,486.4,2844.01488
508860-ee83345f2e68486ea56e1f9899f69164,LAX,san diego,SAN,1,TRUE,2023/1/21 16:00,2023/1/24 16:00,1,Spirit Airlines,32.699,-117.215,32.5,177.1710993
508860-13fdf4e7c6144a6eabce3e14e389514d,LAX,tucson,DMA,1,TRUE,2023/4/19 16:00,2023/4/23 16:00,0,Delta Air Lines,32.166,-110.883,138.52,728.3888136
508938-df428b8834fa4dc38a1a1aa1fc8f206d,ATL,chicago,ORD,1,TRUE,2023/5/19 7:00,2023/5/25 7:00,1,United Airlines,41.786,-87.752,167.1,951.6282893
508938-251904fb94e844c0984d7a63cda3fb63,ATL,fort worth,FTW,1,TRUE,2023/2/19 11:00,2023/2/22 11:00,0,American Airlines,32.82,-97.362,219.32,1205.769969
508938-e3131d4b1d754baf9a697e580cac0ccc,ATL,montreal,YUL,1,TRUE,2023/4/11 7:00,2023/4/15 7:00,1,Air Canada,45.517,-73.417,309.61,1619.771966
508940-430a961a92a54e83abe9565b12d879ae,GRR,tucson,TUS,1,TRUE,2023/3/27 7:00,2023/4/2 7:00,0,United Airlines,32.166,-110.883,478.05,2519.977672
508940-97127f7e1f154ea99400a93ae7e6addf,GRR,new york,JFK,1,TRUE,2023/1/11 7:00,2023/1/14 7:00,0,Finnair,40.64,-73.779,201.13,1004.526291
508940-65e9b9e6195547a2a95d3b71554a389d,GRR,fresno,FAT,1,TRUE,2023/6/18 14:00,2023/6/21 14:00,0,Allegiant Air,36.776,-119.718,518.52,2976.075889
508940-0255d1c30a124188817588fc46a14610,GRR,san francisco,SFO,1,TRUE,2023/1/30 7:00,2023/2/7 7:00,0,American Airlines,37.619,-122.375,574.18,3155.75726
508946-e9768b7888654a2e9d169595971fa74f,LOU,san jose,SJI,1,TRUE,2023/1/19 10:00,2023/1/21 10:00,1,Cebu Pacific,37.362,-121.929,583.82,3167.434724
508946-950a15922d2d4371beed06f22e39478a,LOU,houston,HOU,1,TRUE,2023/3/28 9:00,2023/3/31 9:00,0,AirTran Airways,29.607,-95.159,246.26,1297.149819
508946-9da23e55a45b4178b2812ebdfd518677,LOU,new york,LGA,1,TRUE,2023/1/10 7:00,2023/1/12 7:00,0,Delta Air Lines,40.64,-73.779,212.97,1054.421034
508973-c7e0b007150d4d6f878f99f2a660ea1c,MOD,indianapolis,IND,2,TRUE,2023/2/12 7:00,2023/2/13 7:00,2,Delta Air Lines,39.717,-86.294,1028.81,2999.237646
508973-b601bc0e35c94d59b55e6a0f93bb6c57,MOD,denver,DEN,1,TRUE,2023/4/21 12:00,2023/4/26 12:00,2,United Airlines,39.858,-104.667,262.3,1432.090346
509626-8fcfc657de3f481a98e81feb926a51bf,BRO,fort worth,FTW,1,TRUE,2023/2/2 9:00,2023/2/13 9:00,1,American Airlines,32.82,-97.362,118.74,768.7154895
509626-acde05123c59406eb85b6d5d99a773a4,BRO,edmonton,YED,1,TRUE,2023/3/1 15:00,2023/3/6 15:00,0,American Airlines,53.667,-113.467,581.83,3359.590189
509626-86b032f543804f4e9fdfbf6e5839761c,BRO,los angeles,LSQ,2,TRUE,2024/6/5 11:00,2024/6/12 11:00,2,American Airlines,33.942,-118.408,827.45,2205.010866
509635-ce74796962f7482f94cdf4c1e4ea2f09,AUS,new york,JFK,1,FALSE,2023/7/29 7:00,,0,Delta Air Lines,40.64,-73.779,198.27,2445.503081
509635-87af5c89fccf489cbb099176be9e6d11,AUS,boston,BOS,1,TRUE,2023/7/4 14:00,2023/7/7 14:00,0,JetBlue Airways,42.364,-71.005,464.92,2729.743878
509635-dd6d3d04b0374596ae3641085c1818c3,AUS,toronto,YZD,1,TRUE,2023/1/9 8:00,2023/1/10 8:00,0,Ryanair,43.862,-79.37,371.31,2215.106174
509638-aa7f00645cbe45cda3af1307e641103e,RNO,tucson,TUS,1,TRUE,2023/7/20 7:00,2023/7/21 7:00,0,Southwest Airlines,32.166,-110.883,207.08,1141.738054
509645-180850e3f35a4a83b4d471824318bad3,RAL,san jose,SJO,1,TRUE,2023/3/6 7:00,2023/3/13 7:00,1,JetBlue Airways,37.362,-121.929,105.74,554.7478076
509645-9f25730f3f60484eb6ca40c8de1c8ca8,RAL,los angeles,LSQ,1,TRUE,2023/6/19 15:00,2023/6/25 15:00,0,Delta Air Lines,33.942,-118.408,16.52,88.83591987
509645-2b8b0f5d8bc0427c983e0a729a5a5ac2,RAL,seattle,SEA,1,TRUE,2023/2/10 7:00,2023/2/14 7:00,0,United Airlines,47.53,-122.302,334.92,1563.448857
