session_id,user_id,trip_id,session_start,session_end,flight_discount,hotel_discount,flight_discount_amount,hotel_discount_amount,flight_booked,hotel_booked,page_clicks,cancellation
442718-c9db3e68fdf24cbf9e37a1cc4751eb8f,442718,442718-3ea4da847d50412389db271b0b4b98e7,2023/4/25 20:31,2023/4/25 20:34,FALSE,FALSE,,,TRUE,TRUE,30,FALSE
459229-7ad5237a08ab4d6d818c68c7d12aa7ab,459229,459229-4472291b476b48f8be9bf1e0e9026b74,2023/4/25 12:05,2023/4/25 12:07,FALSE,TRUE,,0.1,TRUE,TRUE,20,FALSE
465568-c3d6a52a67a4425d95217a0d2e5640a9,465568,465568-ccb1e44db8f74409808026e3280ac8eb,2023/4/25 5:35,2023/4/25 5:37,TRUE,TRUE,0.1,0.2,FALSE,TRUE,24,FALSE
504240-770f1f0eae0a46ed99f56fbfcdb79327,504240,504240-de25652847254fddb368d38ea36411c2,2023/4/25 5:29,2023/4/25 5:33,FALSE,FALSE,,,TRUE,TRUE,35,FALSE
519079-723fcaff8cf74eb0a52595665dd6a059,519079,519079-6f45e824934f4aecb43404cd91ed9a4d,2023/4/25 18:23,2023/4/25 18:24,TRUE,FALSE,0.1,,FALSE,TRUE,14,FALSE
521963-8a5625fe932a4440ab1b32cd25e5c6e5,521963,521963-f52f6c6ccee14dd7b1d138ed07139d5d,2023/4/25 3:33,2023/4/25 3:34,FALSE,FALSE,,,FALSE,TRUE,10,FALSE
532622-a685d737923340c3895a485ce63fccbd,532622,532622-898fd7ea165c4f4995d2dcf9e8c1103f,2023/4/25 20:22,2023/4/25 20:27,FALSE,FALSE,,,TRUE,TRUE,43,FALSE
534351-c6803e7865b44e27b4235f4bd745ff49,534351,534351-2d5a7c93b5954bc997c353522cf7ade1,2023/4/25 19:44,2023/4/25 19:46,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
535912-c9d1d4da2e754845bd64f477ed0d8251,535912,535912-a47a5163eb1d4f7aa16a210808e1c3f9,2023/4/25 7:02,2023/4/25 7:04,FALSE,FALSE,,,TRUE,TRUE,23,FALSE
536474-ebb803ab0cec410ba16689b4c736dd12,536474,536474-a2db651560c84706b8283e0ec7e1fdd0,2023/4/25 18:40,2023/4/25 18:42,FALSE,FALSE,,,TRUE,TRUE,22,FALSE
536951-bfd5ec704f3a45bd83e000619af64b7d,536951,536951-a19e052adf1c49af9d9a382ffd0695c8,2023/4/25 17:01,2023/4/25 17:04,FALSE,FALSE,,,TRUE,TRUE,24,FALSE
537412-2f4d759d3c5141e6a781044be97155a3,537412,537412-0db563157c7c478aa67cec78f66d881c,2023/4/25 20:51,2023/4/25 20:53,FALSE,FALSE,,,TRUE,TRUE,22,FALSE
