user_id,age,gender,married,has_children,home_country,home_city,home_airport_lat,home_airport_lon,sessions,clicks,flight_times,avg_checked_bag,total_flight_distance_km,use_flight_discount_times,total_flight_fee,last_minuten,user_non_america_flights,avg_nights,avg_rooms,max_nights,use_hotel_discount_times,total_hotel_fee,trips,flight_booking_count,room_booking_count
23557,65,F,TRUE,FALSE,usa,new york,40.777,-73.872,8,82,,,,,,,,10,2,18,1,156.75,2,,2
94883,52,F,TRUE,FALSE,usa,kansas city,39.297,-94.714,8,73,2,1,5814.665,0,864.09,,,1,2,1,0,180,2,2,2
101486,51,F,TRUE,TRUE,usa,tacoma,47.138,-122.476,8,131,1,0,1930.681,0,189.91,,,4,2,5,0,397,2,1,2
101961,43,F,TRUE,FALSE,usa,boston,42.364,-71.005,8,126,5,1,13216.842,1,1197.96,,,4,1,7,0,680,5,5,5
106907,45,F,TRUE,TRUE,usa,miami,25.862,-80.897,8,240,,,,,,,,,,,,,,,
118043,52,F,FALSE,TRUE,usa,los angeles,33.942,-118.408,8,164,3,1,14730.147,0,2339.29,,,6,2,8,2,666.6,4,2,4
120851,51,F,TRUE,TRUE,usa,santa ana,33.676,-117.868,8,55,1,0,4499.668,0,384.68,,,11,1,11,0,182,1,1,1
125845,40,F,TRUE,FALSE,usa,el paso,31.849,-106.38,9,159,3,1,16204.689,1,1149.5,,,2,2,3,0,371,3,3,3
133058,19,F,FALSE,FALSE,usa,austin,30.194,-97.67,8,73,1,0,5416.589,0,423.51,,,,,,,,,,
149058,51,F,FALSE,TRUE,usa,birmingham,33.563,-86.753,8,142,5,1,19047.558,1,1747.64,,,5,2,10,0,843,5,5,5
152583,37,F,FALSE,FALSE,usa,colorado springs,38.806,-104.7,8,149,1,2,4357.578,0,367.83,,,2,1,2,0,213,1,1,1
153982,45,F,FALSE,TRUE,canada,toronto,43.862,-79.37,8,150,2,1,7695.253,0,656.87,,,2,1,2,0,621,3,3,3
160754,46,F,TRUE,TRUE,usa,new york,40.777,-73.872,8,86,1,1,1052.24,0,93.62,,,2,1,2,0,214,1,1,1
164522,48,F,TRUE,FALSE,usa,kansas city,39.297,-94.714,8,89,1,1,3572.146,1,16.42,,,13,1,13,0,233,1,1,1
167852,18,F,FALSE,FALSE,usa,tampa,27.849,-82.521,8,63,,,,,,,,,,,,,,,
171470,24,F,FALSE,FALSE,usa,atlanta,33.64,-84.427,8,446,,,,,,,,,,,,,,,
174997,32,F,FALSE,FALSE,usa,grand rapids,42.881,-85.523,8,252,2,0,6460.236,0,590.43,,,2,1,2,0,224,2,2,2
175032,29,F,FALSE,FALSE,usa,houston,29.98,-95.34,9,127,2,1,5435.271,0,1109.25,,,5,2,8,1,288.65,3,2,3
181157,53,F,TRUE,FALSE,usa,houston,29.645,-95.279,8,153,3,1,7165.354,1,583.8,,,4,2,7,1,398.6,3,3,3
182191,19,F,FALSE,TRUE,usa,phoenix,33.434,-112.008,8,148,,,,,,,,,,,,,,,
187212,55,F,TRUE,TRUE,usa,los angeles,33.942,-118.408,8,128,3,1,14032.293,0,1242.57,,,2,1,4,0,652,3,3,3
189676,36,F,FALSE,TRUE,usa,fort worth,32.82,-97.362,8,93,1,2,4569.097,0,1244.31,,,9,2,13,0,361,2,1,2
190866,37,F,FALSE,FALSE,usa,tallahassee,30.396,-84.35,9,186,3,1,22695.417,0,2081,,,2,1,6,0,846,5,5,5
195192,28,F,FALSE,FALSE,usa,chicago,41.786,-87.752,8,225,1,0,2348.846,0,394.29,,,1,2,1,0,160,1,1,1
204943,41,M,FALSE,FALSE,canada,ottawa,45.323,-75.669,8,292,5,2,15645.455,1,2109.76,,,3,2,4,0,769,5,5,5
204997,38,F,TRUE,FALSE,usa,kansas city,39.297,-94.714,8,439,2,1,5088.988,0,488.47,,,4,1,4,0,71,1,1,1
205044,40,F,TRUE,TRUE,canada,toronto,43.862,-79.37,9,134,3,1,15186.06,1,2222.95,,,5,2,8,0,748,3,3,3
206011,39,F,FALSE,TRUE,usa,kansas city,39.297,-94.714,8,156,4,1,11788.406,1,632.05,,,3,1,7,0,340,3,3,3
216796,23,F,FALSE,FALSE,usa,cincinnati,39.046,-84.662,8,125,,,,,,,,,,,,,,,
217114,20,O,TRUE,TRUE,usa,long beach,33.818,-118.151,9,59,,,,,,,,,,,,,,,
217136,39,F,FALSE,TRUE,usa,little rock,34.729,-92.224,8,106,1,0,5734.633,0,539.57,,,2,1,3,0,473,2,1,2
220725,40,F,FALSE,FALSE,usa,stockton,37.894,-121.239,9,316,3,1,18493.517,0,1533.42,,,4,1,4,0,280,2,2,2
224996,43,F,FALSE,TRUE,canada,halifax,44.881,-63.509,8,102,2,0,9412.043,0,897.61,,,0,1,0,0,231,1,1,1
226367,43,F,FALSE,FALSE,usa,washington,38.944,-77.456,8,114,3,1,9934.926,1,782.64,,,2,2,2,0,759,3,3,3
228195,27,F,FALSE,TRUE,usa,los angeles,33.942,-118.408,9,116,,,,,,,,,,,,,,,
228872,35,M,FALSE,FALSE,usa,san antonio,29.529,-98.279,8,126,1,1,5540.438,0,509.21,,,7,1,8,0,188,2,1,2
229009,17,F,FALSE,FALSE,usa,stockton,37.894,-121.239,8,144,2,1,11798.672,0,1061.63,,,2,1,2,0,299,2,2,2
229108,26,F,FALSE,FALSE,usa,burlington,44.472,-73.153,8,321,,,,,,,,,,,,,,,
229330,47,F,TRUE,FALSE,usa,colorado springs,38.806,-104.7,8,129,4,1,9608.956,0,1548.11,,,2,2,4,0,837,4,4,4
232647,18,F,FALSE,FALSE,usa,birmingham,33.563,-86.753,8,100,1,1,2783.168,0,237.1,,,11,1,11,0,213,1,,1
249521,59,F,TRUE,TRUE,canada,ottawa,45.323,-75.669,8,151,1,1,7103.6,0,642.02,,,2,1,2,1,185.8,2,1,2
252835,38,F,FALSE,TRUE,usa,chicago,41.979,-87.904,8,117,4,1,18677.789,1,1534.42,,,3,1,4,0,531,4,4,4
258451,23,F,FALSE,FALSE,usa,miami,25.907,-80.278,8,167,,,,,,,,,,,,,,,
264470,45,F,FALSE,TRUE,usa,bakersfield,35.433,-119.057,8,118,2,1,9220.642,1,154.77,,,5,1,6,0,400,2,2,2
276512,41,F,TRUE,TRUE,usa,austin,30.194,-97.67,8,98,1,1,4598.297,0,395.69,,,1,1,1,0,100,1,1,1
281952,37,F,FALSE,FALSE,usa,louisville,38.228,-85.664,8,158,2,2,7380.058,0,684.72,,,1,1,1,1,111.7,2,2,2
283325,51,F,TRUE,FALSE,usa,dallas,32.847,-96.852,8,114,1,0,5300.851,1,45.33,,,3,2,4,0,721,2,1,2
290123,41,F,TRUE,FALSE,usa,houston,29.645,-95.279,9,190,6,1,31934.517,0,4796.11,,,3,2,5,0,1440,6,6,6
297546,51,F,TRUE,FALSE,usa,new york,40.64,-73.779,8,207,2,1,14277.873,0,1660.72,,,6,2,13,1,416,5,4,5
298253,46,F,TRUE,TRUE,usa,los angeles,33.942,-118.408,8,98,1,2,7948.42,0,712.42,,,,,,,,,,
299476,39,F,TRUE,FALSE,usa,atlanta,33.64,-84.427,9,187,1,0,2219.835,0,192.38,,,1,1,1,0,71,1,1,1
306165,21,F,FALSE,FALSE,usa,cleveland,41.412,-81.85,8,89,,,,,,,,,,,,,,,
306819,60,F,TRUE,TRUE,usa,new york,40.64,-73.779,8,329,1,1,590.739,0,50.16,,,1,1,1,0,370,1,1,1
312488,31,M,TRUE,FALSE,usa,new york,40.64,-73.779,8,76,1,1,4530.927,0,407.1,,,0,1,0,0,299,1,1,1
313724,52,F,FALSE,FALSE,usa,tulsa,36.198,-95.888,8,351,3,1,10003.577,0,1156.84,,,4,2,9,0,723,4,3,4
316527,41,F,TRUE,TRUE,canada,winnipeg,49.91,-97.234,8,139,4,1,16118.432,0,1739.89,,,3,2,6,1,1216.9,4,4,4
317688,41,F,FALSE,TRUE,usa,indianapolis,39.717,-86.294,8,133,3,1,12867.265,0,1238.74,,,2,1,2,1,576.1,4,4,4
322867,46,F,FALSE,FALSE,usa,mobile,30.626,-88.068,8,82,1,1,1843.555,0,173.04,,,7,1,7,0,189,1,1,1
324191,40,F,FALSE,FALSE,usa,san diego,32.733,-117.189,8,86,2,1,703.081,0,99.74,,,5,2,8,0,547,2,2,2
328590,55,F,FALSE,FALSE,usa,san diego,32.699,-117.215,8,383,2,1,12170.494,0,2203.95,,,5,2,5,1,178.25,2,2,2
330764,39,F,FALSE,FALSE,usa,detroit,42.409,-83.01,8,375,,,,,,,,5,1,5,0,259,2,,2
330893,43,F,TRUE,TRUE,usa,oklahoma city,35.393,-97.601,8,133,3,1,9496.789,0,861.61,,,2,1,4,0,414,3,3,3
331039,44,F,TRUE,TRUE,canada,london,43.036,-81.154,8,198,,,,,,,,,,,,,,,
334787,53,F,FALSE,FALSE,usa,minneapolis,44.88,-93.217,8,119,3,1,8368.796,1,592.44,,,2,1,4,0,507,3,3,3
337227,35,F,TRUE,FALSE,usa,santa ana,33.676,-117.868,8,83,,,,,,,,,,,,,,,
338086,40,F,FALSE,TRUE,usa,washington,38.944,-77.456,8,137,2,1,10982.682,0,981.69,,,1,1,2,1,86,2,2,2
340166,51,M,TRUE,TRUE,usa,san francisco,37.619,-122.375,8,88,,,,,,,,2,1,2,0,237,1,,1
343928,65,F,TRUE,FALSE,usa,el paso,31.849,-106.38,8,122,2,1,32554.766,1,1463.1,,1,3,1,3,0,116,1,1,1
347778,49,F,FALSE,FALSE,usa,las vegas,36.236,-115.034,9,162,4,1,24879.676,0,4233.69,1,,3,2,3,0,907,4,4,4
348817,28,F,FALSE,FALSE,canada,calgary,51.114,-114.02,8,125,3,1,15908.859,0,1374.62,,,3,1,3,0,1036,4,3,4
348863,67,F,TRUE,FALSE,usa,san antonio,29.384,-98.581,8,81,,,,,,,,,,,,,,,
349132,49,F,FALSE,FALSE,usa,cincinnati,39.046,-84.662,9,133,2,1,4230.686,0,721.06,,,5,2,7,1,331.7,3,2,3
350648,18,F,FALSE,FALSE,usa,lincoln,40.851,-96.759,8,295,,,,,,,,,,,,,,,
353271,26,F,FALSE,TRUE,usa,milwaukee,42.947,-87.896,8,84,1,0,2393.11,0,408.4,,,0,2,0,0,136,1,1,1
353694,40,F,FALSE,TRUE,usa,new york,40.777,-73.872,8,100,2,1,3874.925,0,461.37,,,5,2,5,0,248,2,2,2
354050,50,F,FALSE,FALSE,usa,detroit,42.409,-83.01,8,172,5,1,18163.726,1,1404.9,,,3,2,4,1,863.9,5,5,5
354260,49,F,FALSE,FALSE,usa,providence,41.724,-71.428,8,116,2,1,13317.315,0,1165.01,,,2,1,2,0,260,1,1,1
