user_id,perk
23557,Economic hot spots: exclusive disounts
94883, AGE >= 50 Group: 1 night free hotel with filght
101486, AGE >= 50 Group: 1 night free hotel with filght
101961,AGE < 50 no child: no cancellation fees
106907,Potential new users: 10% discount on first order.
118043,Economic hot spots: exclusive disounts
120851, AGE >= 50 Group: 1 night free hotel with filght
125845,AGE < 50 no child: no cancellation fees
133058,Potential new users: 10% discount on first order.
149058, AGE >= 50 Group: 1 night free hotel with filght
152583,AGE < 50 no child: no cancellation fees
153982,AGE < 50 families with Childen: free hotel meal
160754,AGE < 50 families with Childen: free hotel meal
164522,AGE < 50 no child: no cancellation fees
167852,Potential new users: 10% discount on first order.
171470,Potential new users: 10% discount on first order.
174997,AGE < 50 no child: no cancellation fees
175032,AGE < 50 no child: no cancellation fees
181157, AGE >= 50 Group: 1 night free hotel with filght
182191,Potential new users: 10% discount on first order.
187212,Economic hot spots: exclusive disounts
189676,AGE < 50 families with Childen: free hotel meal
190866,AGE < 50 no child: no cancellation fees
195192,AGE < 50 no child: no cancellation fees
204943,AGE < 50 no child: no cancellation fees
204997,AGE < 50 no child: no cancellation fees
205044,AGE < 50 families with Childen: free hotel meal
206011,AGE < 50 families with Childen: free hotel meal
216796,Potential new users: 10% discount on first order.
217114,Potential new users: 10% discount on first order.
217136,AGE < 50 families with Childen: free hotel meal
220725,AGE < 50 no child: no cancellation fees
224996,AGE < 50 families with Childen: free hotel meal
226367,AGE < 50 no child: no cancellation fees
228195,Potential new users: 10% discount on first order.
228872,AGE < 50 no child: no cancellation fees
229009,AGE < 50 no child: no cancellation fees
229108,Potential new users: 10% discount on first order.
229330,AGE < 50 no child: no cancellation fees
232647,AGE < 50 no child: no cancellation fees
249521, AGE >= 50 Group: 1 night free hotel with filght
252835,AGE < 50 families with Childen: free hotel meal
258451,Potential new users: 10% discount on first order.
264470,AGE < 50 families with Childen: free hotel meal
276512,AGE < 50 families with Childen: free hotel meal
281952,AGE < 50 no child: no cancellation fees
283325, AGE >= 50 Group: 1 night free hotel with filght
290123,AGE < 50 no child: no cancellation fees
297546,Economic hot spots: exclusive disounts
298253,Potential new users: 10% discount on first order.
299476,AGE < 50 no child: no cancellation fees
306165,Potential new users: 10% discount on first order.
306819,Economic hot spots: exclusive disounts
312488,Economic hot spots: exclusive disounts
313724, AGE >= 50 Group: 1 night free hotel with filght
316527,AGE < 50 families with Childen: free hotel meal
317688,AGE < 50 families with Childen: free hotel meal
322867,AGE < 50 no child: no cancellation fees
324191,AGE < 50 no child: no cancellation fees
328590, AGE >= 50 Group: 1 night free hotel with filght
